Name,Quantity,Supplier Part,Price,Link
XL-502UWC,1,C2895480,$0 (Have at home),https://atta.szlcsc.com/upload/public/pdf/source/20200608/C575514_481805297FA19E87E029DBBC3944682B.pdf
MST-12D18G4 SPDT SLIDE SWITCH,4,C49023767,$0 (Have at home),https://atta.szlcsc.com/upload/public/pdf/source/20250603/877AC4312E14CF7A6AB4E018B34890B6.pdf
SN74LS08DR,2,C6802,$0 (Have at home),https://item.szlcsc.com/7253.html
SN74LS32DR,2,C116812,$0 (Have at home),https://item.szlcsc.com/7253.html
Custom PCB,1,,$2.00,https://cart.jlcpcb.com/shopcart/cart/
Taxes & Payment Fee,1,,$0.86,
Shipping,1,,$3.12,

Total Price,,,5.98,

